ESTACION;DIA;MES;MINIMA;MAXIMA
PUDAHUEL;1;Ene;11;29,7
PUDAHUEL;2;Ene;11,2;30,3
PUDAHUEL;3;Ene;13,4;32,1
PUDAHUEL;4;Ene;15,2;31,7
PUDAHUEL;5;Ene;16,2;31,7
PUDAHUEL;6;Ene;13,9;29,8
PUDAHUEL;7;Ene;12,9;33,1
PUDAHUEL;8;Ene;16,3;29,4
PUDAHUEL;9;Ene;14;28,4
PUDAHUEL;10;Ene;14,5;30,6
PUDAHUEL;11;Ene;16,5;31
PUDAHUEL;12;Ene;15;30,7
PUDAHUEL;13;Ene;13,6;28,8
PUDAHUEL;14;Ene;14,7;32,2
PUDAHUEL;15;Ene;15,7;29,3
PUDAHUEL;16;Ene;13,8;23,2
PUDAHUEL;17;Ene;13,1;24,5
PUDAHUEL;18;Ene;10,8;27,7
PUDAHUEL;19;Ene;10,3;28,3
PUDAHUEL;20;Ene;11,2;29,6
PUDAHUEL;21;Ene;11,3;30
PUDAHUEL;22;Ene;10,2;29,5
PUDAHUEL;23;Ene;12,1;31,6
PUDAHUEL;24;Ene;14,3;33,2
PUDAHUEL;25;Ene;14,7;30,6
PUDAHUEL;26;Ene;12,4;29,6
PUDAHUEL;27;Ene;12,8;28,2
PUDAHUEL;28;Ene;12,2;28
PUDAHUEL;29;Ene;12,8;26,4
PUDAHUEL;30;Ene;13,6;29,6
PUDAHUEL;31;Ene;14,5;30,3
PUDAHUEL;1;Feb;14,5;28,7
PUDAHUEL;2;Feb;13,9;29,8
PUDAHUEL;3;Feb;13,7;27,7
PUDAHUEL;4;Feb;11,8;29,6
PUDAHUEL;5;Feb;13,4;31,4
PUDAHUEL;6;Feb;15,3;34
PUDAHUEL;7;Feb;14,1;30,9
PUDAHUEL;8;Feb;13,1;33,1
PUDAHUEL;9;Feb;13,9;31,1
PUDAHUEL;10;Feb;13;25,2
PUDAHUEL;11;Feb;15,3;29,2
PUDAHUEL;12;Feb;14,2;32,9
PUDAHUEL;13;Feb;14,4;28,7
PUDAHUEL;14;Feb;13,4;30,2
PUDAHUEL;15;Feb;12,7;27,6
PUDAHUEL;16;Feb;13,1;32,5
PUDAHUEL;17;Feb;13,7;33,7
PUDAHUEL;18;Feb;12,6;31,7
PUDAHUEL;19;Feb;11,1;30,3
PUDAHUEL;20;Feb;12,9;28,2
PUDAHUEL;21;Feb;11,6;27,8
PUDAHUEL;22;Feb;11;26,5
PUDAHUEL;23;Feb;12,4;25,6
PUDAHUEL;24;Feb;9,7;28,2
PUDAHUEL;25;Feb;11,2;30,7
PUDAHUEL;26;Feb;11,8;29,8
PUDAHUEL;27;Feb;13;28,8
PUDAHUEL;28;Feb;12,1;30,3
PUDAHUEL;1;Mar;11,4;31,7
PUDAHUEL;2;Mar;12,7;32,7
PUDAHUEL;3;Mar;14,4;30,5
PUDAHUEL;4;Mar;13,7;29,9
PUDAHUEL;5;Mar;14,5;29,8
PUDAHUEL;6;Mar;13,5;24,8
PUDAHUEL;7;Mar;8,5;30,3
PUDAHUEL;8;Mar;12,8;26,9
PUDAHUEL;9;Mar;10,1;28,9
PUDAHUEL;10;Mar;11,6;31,2
PUDAHUEL;11;Mar;11,7;30,2
PUDAHUEL;12;Mar;11,1;28,1
PUDAHUEL;13;Mar;10,8;32,6
